Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 26, 2021","32,681.07","33,098.83","32,681.07","33,072.88","33,072.88","383,452,285"
"Mar 22, 2021","32,601.82","33,098.83","32,071.41","33,072.88","33,072.88","19,628,900"
"Mar 15, 2021","32,798.84","33,227.78","32,505.07","32,627.97","32,627.97","23,680,200"
"Mar 08, 2021","31,512.15","32,793.32","31,512.15","32,778.64","32,778.64","21,112,000"
"Mar 01, 2021","31,065.90","31,668.34","30,547.53","31,496.30","31,496.30","21,722,600"
"Feb 22, 2021","31,381.12","32,009.64","30,911.37","30,932.37","30,932.37","22,441,300"
"Feb 15, 2021","31,472.08","31,647.53","31,285.32","31,494.32","31,494.32","13,517,800"
"Feb 08, 2021","31,191.20","31,543.82","31,191.20","31,458.40","31,458.40","15,003,200"
"Feb 01, 2021","30,054.73","31,252.18","30,014.97","31,148.24","31,148.24","16,176,900"
"Jan 25, 2021","30,989.85","31,121.42","29,856.30","29,982.62","29,982.62","24,139,700"
"Jan 18, 2021","30,887.42","31,272.22","30,865.03","30,996.98","30,996.98","16,262,000"
"Jan 11, 2021","31,015.37","31,223.78","30,612.67","30,814.26","30,814.26","19,932,200"
"Jan 04, 2021","30,627.47","31,193.40","29,881.82","31,097.97","31,097.97","21,353,800"
"Dec 28, 2020","30,283.23","30,637.47","30,274.24","30,606.48","30,606.48","12,364,600"
"Dec 21, 2020","30,159.00","30,304.14","29,755.53","30,199.87","30,199.87","12,459,100"
"Dec 14, 2020","30,123.91","30,343.59","29,849.15","30,179.05","30,179.05","22,619,400"
"Dec 07, 2020","30,233.03","30,319.70","29,820.84","30,046.37","30,046.37","17,769,400"
"Nov 30, 2020","29,854.51","30,218.26","29,463.64","30,218.26","30,218.26","21,284,100"
"Nov 23, 2020","29,332.82","30,116.51","29,332.82","29,910.37","29,910.37","13,200,300"
"Nov 16, 2020","29,672.36","29,964.29","29,228.38","29,263.48","29,263.48","18,102,000"
"Nov 09, 2020","29,467.90","29,933.83","28,902.13","29,479.81","29,479.81","22,951,200"
"Nov 02, 2020","26,691.28","28,495.05","26,691.28","28,323.40","28,323.40","18,956,800"
"Oct 26, 2020","28,185.82","28,185.82","26,143.77","26,501.60","26,501.60","21,912,900"
"Oct 19, 2020","28,633.55","28,711.93","28,040.18","28,335.57","28,335.57","16,859,600"
"Oct 12, 2020","28,671.12","28,957.90","28,181.54","28,606.31","28,606.31","20,756,700"
"Oct 05, 2020","27,825.42","28,676.29","27,728.03","28,586.90","28,586.90","17,207,900"
"Sep 28, 2020","27,362.14","28,041.46","27,338.09","27,682.81","27,682.81","19,244,500"
"Sep 21, 2020","27,484.71","27,484.71","26,537.01","27,173.96","27,173.96","22,405,600"
"Sep 14, 2020","27,718.74","28,364.77","27,487.97","27,657.42","27,657.42","23,478,600"
"Sep 07, 2020","27,925.23","28,206.21","27,447.08","27,665.64","27,665.64","19,196,300"
"Aug 31, 2020","28,643.66","29,199.35","27,664.68","28,133.31","28,133.31","28,249,600"
"Aug 24, 2020","28,077.58","28,733.35","28,041.75","28,653.87","28,653.87","18,234,500"
"Aug 17, 2020","27,970.05","27,999.81","27,526.25","27,930.33","27,930.33","15,517,600"
"Aug 10, 2020","27,488.21","28,154.88","27,488.21","27,931.02","27,931.02","17,644,700"
"Aug 03, 2020","26,542.32","27,456.24","26,534.38","27,433.48","27,433.48","17,953,600"
"Jul 27, 2020","26,447.67","26,625.46","25,992.28","26,428.32","26,428.32","19,491,900"
"Jul 20, 2020","26,660.29","27,035.24","26,402.86","26,469.89","26,469.89","19,926,300"
"Jul 13, 2020","26,225.07","27,071.33","25,994.98","26,671.95","26,671.95","17,956,500"
"Jul 06, 2020","25,996.08","26,297.53","25,523.51","26,075.30","26,075.30","17,505,900"
"Jun 29, 2020","25,152.45","26,204.41","25,096.16","25,827.36","25,827.36","15,111,600"
"Jun 22, 2020","25,865.08","26,314.97","24,971.03","25,015.55","25,015.55","22,173,000"
"Jun 15, 2020","25,270.39","26,611.03","24,843.18","25,871.46","25,871.46","22,773,400"
"Jun 08, 2020","27,232.93","27,580.21","25,078.41","25,605.54","25,605.54","24,227,800"
"Jun 01, 2020","25,342.99","27,338.30","25,220.66","27,110.98","27,110.98","20,042,100"
"May 25, 2020","24,781.84","25,758.79","24,781.84","25,383.11","25,383.11","17,410,300"
"May 18, 2020","24,059.98","24,718.46","24,059.98","24,465.16","24,465.16","18,272,300"
"May 11, 2020","24,256.45","24,382.09","22,789.62","23,685.42","23,685.42","21,460,400"
"May 04, 2020","23,581.55","24,349.90","23,361.16","24,331.32","24,331.32","18,081,700"
"Apr 27, 2020","23,866.15","24,764.77","23,645.30","23,723.69","23,723.69","21,509,300"
"Apr 20, 2020","24,095.10","24,108.69","22,941.88","23,775.27","23,775.27","20,267,400"
"Apr 13, 2020","23,698.93","24,264.21","23,095.35","24,242.49","24,242.49","23,148,600"
"Apr 06, 2020","21,693.63","24,008.99","21,693.63","23,719.37","23,719.37","22,445,600"
"Mar 30, 2020","21,678.22","22,480.37","20,735.02","21,052.53","21,052.53","26,029,800"
"Mar 23, 2020","19,028.36","22,595.06","18,213.65","21,636.78","21,636.78","36,776,400"
"Mar 16, 2020","20,917.53","21,768.28","18,917.46","19,173.98","19,173.98","40,871,400"
"Mar 09, 2020","24,992.36","25,020.99","21,154.46","23,185.62","23,185.62","38,205,900"
"Mar 02, 2020","25,590.51","27,102.34","25,226.62","25,864.78","25,864.78","28,190,200"
"Feb 24, 2020","28,402.93","28,402.93","24,681.01","25,409.36","25,409.36","30,192,700"
"Feb 17, 2020","29,282.78","29,409.09","28,892.70","28,992.41","28,992.41","10,962,300"
"Feb 10, 2020","28,995.66","29,568.57","28,995.66","29,398.08","29,398.08","13,617,300"
"Feb 03, 2020","28,319.65","29,408.05","28,319.65","29,102.51","29,102.51","15,147,600"
"Jan 27, 2020","28,542.49","28,944.24","28,169.53","28,256.03","28,256.03","17,004,400"
"Jan 20, 2020","29,269.05","29,341.21","28,843.31","28,989.73","28,989.73","12,911,500"
"Jan 13, 2020","28,869.01","29,373.62","28,819.43","29,348.10","29,348.10","13,714,700"
"Jan 06, 2020","28,465.50","29,009.07","28,418.63","28,823.77","28,823.77","13,163,000"
"Dec 30, 2019","28,654.76","28,872.80","28,376.49","28,634.88","28,634.88","8,663,500"
"Dec 23, 2019","28,491.78","28,701.66","28,491.78","28,645.26","28,645.26","6,479,300"
"Dec 16, 2019","28,191.67","28,608.64","28,191.67","28,455.09","28,455.09","17,297,800"
"Dec 09, 2019","27,987.05","28,290.73","27,801.80","28,135.38","28,135.38","11,721,600"
"Dec 02, 2019","28,109.74","28,109.84","27,325.13","28,015.06","28,015.06","11,620,700"
"Nov 25, 2019","27,917.77","28,174.97","27,917.77","28,051.41","28,051.41","8,913,100"
"Nov 18, 2019","27,993.22","28,090.21","27,675.28","27,875.62","27,875.62","12,031,500"
"Nov 11, 2019","27,580.66","28,004.89","27,517.67","28,004.89","28,004.89","12,821,000"
"Nov 04, 2019","27,402.06","27,774.67","27,402.06","27,681.24","27,681.24","12,777,500"
"Oct 28, 2019","27,040.33","27,347.43","26,918.29","27,347.36","27,347.36","13,368,300"
"Oct 21, 2019","26,852.67","27,015.37","26,714.34","26,958.06","26,958.06","12,824,200"
"Oct 14, 2019","26,766.43","27,120.11","26,749.18","26,770.20","26,770.20","11,503,000"
"Oct 07, 2019","26,502.33","27,013.97","26,139.80","26,816.59","26,816.59","11,296,100"
"Sep 30, 2019","26,852.33","27,046.21","25,743.46","26,573.72","26,573.72","12,553,500"
"Sep 23, 2019","26,851.45","27,079.68","26,704.96","26,820.25","26,820.25","11,901,700"
"Sep 16, 2019","27,146.06","27,272.17","26,899.15","26,935.07","26,935.07","13,670,600"
"Sep 09, 2019","26,866.23","27,306.73","26,717.05","27,219.52","27,219.52","13,733,200"
"Sep 02, 2019","26,198.26","26,860.87","25,978.22","26,797.46","26,797.46","8,922,900"
"Aug 26, 2019","25,826.05","26,514.62","25,637.43","26,403.28","26,403.28","11,181,900"
"Aug 19, 2019","26,020.06","26,388.78","25,507.18","25,628.90","25,628.90","12,866,000"
"Aug 12, 2019","26,169.91","26,426.97","25,339.60","25,886.01","25,886.01","14,693,500"
"Aug 05, 2019","26,259.23","26,413.36","25,440.39","26,287.44","26,287.44","16,079,800"
"Jul 29, 2019","27,192.24","27,281.65","26,249.22","26,485.01","26,485.01","16,432,100"
"Jul 22, 2019","27,174.18","27,368.81","27,062.48","27,192.45","27,192.45","11,845,500"
"Jul 15, 2019","27,364.69","27,398.68","27,068.79","27,154.20","27,154.20","11,234,200"
"Jul 08, 2019","26,835.64","27,333.79","26,665.57","27,332.03","27,332.03","11,413,000"
"Jul 01, 2019","26,805.86","26,966.00","26,616.21","26,922.12","26,922.12","8,289,500"
"Jun 24, 2019","26,727.61","26,806.52","26,465.32","26,599.96","26,599.96","15,351,700"
"Jun 17, 2019","26,108.53","26,907.37","26,049.80","26,719.13","26,719.13","14,776,700"
"Jun 10, 2019","26,090.22","26,248.67","25,958.66","26,089.61","26,089.61","11,478,800"
"Jun 03, 2019","24,830.16","26,072.75","24,680.57","25,983.94","25,983.94","13,836,700"
"May 27, 2019","25,616.55","25,717.63","24,809.51","24,815.04","24,815.04","11,653,800"
"May 20, 2019","25,655.31","25,898.27","25,328.09","25,585.69","25,585.69","13,005,000"
"May 13, 2019","25,568.06","25,957.63","25,222.51","25,764.00","25,764.00","15,282,500"
"May 06, 2019","26,160.62","26,476.27","25,469.86","25,942.37","25,942.37","15,237,400"
"Apr 29, 2019","26,559.87","26,689.39","26,180.36","26,504.95","26,504.95","14,601,300"
"Apr 22, 2019","26,510.77","26,695.96","26,310.28","26,543.33","26,543.33","14,416,500"
"Apr 15, 2019","26,407.76","26,602.42","26,316.42","26,559.54","26,559.54","12,535,900"
"Apr 08, 2019","26,312.67","26,436.68","26,062.59","26,412.30","26,412.30","12,585,100"
"Apr 01, 2019","26,075.10","26,487.57","26,071.69","26,424.99","26,424.99","12,810,800"
"Mar 25, 2019","25,676.34","25,949.32","25,425.27","25,928.68","25,928.68","8,081,300"
